CAND_NAME,CAND_ID,Amount,Type,OFFICE
10.26.52.169,0,94371,visit,H
10.59.45.180,1,56864,visit,H
10.59.223.26,2,35630,visit,H
10.59.223.66,3,35082,visit,H
10.24.47.157,4,34837,visit,H
10.59.81.213,5,33968,visit,H
10.59.22.82,6,24361,visit,H
10.59.174.187,7,21323,visit,H
10.26.52.84,8,20366,visit,H
10.59.223.31,9,17865,visit,H
10.59.253.58,10,15138,visit,H
10.26.52.237,11,13551,visit,H
10.26.52.55,12,13388,visit,H
10.26.52.183,13,13160,visit,H
10.26.52.162,14,13100,visit,H
10.59.174.170,15,12866,visit,H
10.59.174.62,16,12179,visit,H
10.14.252.143,17,11112,visit,H
10.59.137.255,18,11010,visit,H
10.59.207.218,19,9483,visit,H
10.41.27.230,20,8961,visit,H
10.59.223.172,21,6713,visit,H
10.59.174.143,22,6598,visit,H
10.50.185.170,23,6558,visit,H
10.26.52.120,24,6544,visit,H
10.59.253.170,25,6470,visit,H
10.34.143.103,26,6448,visit,H
10.59.253.48,27,6136,visit,H
10.59.88.121,28,6083,visit,H
10.41.242.201,29,6048,visit,H
10.59.34.15,30,5993,visit,H
10.19.172.148,31,5894,visit,H
10.59.45.122,32,5624,visit,H
10.65.221.150,33,5464,visit,H
10.24.32.70,34,5404,visit,H
10.41.68.117,35,5394,visit,H
10.41.73.100,36,5322,visit,H
10.28.52.151,37,5291,visit,H
10.28.52.233,38,5283,visit,H
10.28.160.160,39,5271,visit,H
10.65.117.39,40,5184,visit,H
10.65.117.184,41,5171,visit,H
10.41.11.98,42,5116,visit,H
10.19.240.213,43,5092,visit,H
10.59.126.85,44,4854,visit,H
10.32.170.23,45,4840,visit,H
10.32.170.198,46,4812,visit,H
10.59.223.186,47,4625,visit,H
10.59.253.157,48,4587,visit,H
10.59.253.30,49,4302,visit,H
10.99.216.254,50,4081,visit,H
10.59.223.59,51,3815,visit,H
10.16.249.11,52,3785,visit,H
10.59.216.254,53,3568,visit,H
10.16.249.62,54,3560,visit,H
10.59.255.110,55,3247,visit,H
10.46.24.248,56,2923,visit,H
10.34.143.65,57,2786,visit,H
10.41.141.77,58,2695,visit,H
10.41.141.51,59,2675,visit,H
10.28.196.177,60,2675,visit,H
10.41.141.181,61,2575,visit,H
10.41.141.9,62,2574,visit,H
10.41.141.163,63,2558,visit,H
10.59.174.4,64,2472,visit,H
10.45.91.75,65,2448,visit,H
10.59.137.187,66,2169,visit,H
10.59.81.227,67,2122,visit,H
10.30.172.236,68,1848,visit,H
10.46.207.253,69,1843,visit,H
10.42.99.20,70,1790,visit,H
10.99.216.132,71,1786,visit,H
10.31.68.144,72,1778,visit,H
10.41.18.35,73,1755,visit,H
10.31.68.9,74,1739,visit,H
10.31.68.27,75,1674,visit,H
10.31.68.77,76,1664,visit,H
10.31.68.107,77,1623,visit,H
10.31.68.242,78,1614,visit,H
10.31.68.103,79,1576,visit,H
10.59.137.52,80,1555,visit,H
10.59.126.199,81,1455,visit,H
10.32.170.99,82,1352,visit,H
10.41.153.124,83,1337,visit,H
10.62.35.233,84,1268,visit,H
10.37.125.90,85,1177,visit,H
10.37.125.187,86,1092,visit,H
10.34.38.92,87,966,visit,H
10.34.38.202,88,965,visit,H
10.28.15.69,89,932,visit,H
10.64.181.197,90,929,visit,H
10.59.81.153,91,895,visit,H
10.34.38.206,92,884,visit,H
10.41.242.118,93,874,visit,H
10.37.68.64,94,860,visit,H
10.28.15.63,95,853,visit,H
10.28.15.95,96,852,visit,H
10.37.125.13,97,837,visit,H
10.41.80.139,98,825,visit,H
10.28.15.22,99,778,visit,H
10.28.15.140,140,743,visit,H
10.59.137.72,112,690,visit,H
10.59.126.7,116,689,visit,H
10.14.141.122,134,510,visit,H
10.59.58.228,136,465,visit,H
10.42.244.94,101,436,visit,H
10.59.240.194,142,414,visit,H
10.94.216.145,137,381,visit,H
10.59.20.39,121,327,visit,H
10.59.223.142,106,317,visit,H
10.59.20.92,123,295,visit,H
10.59.20.74,122,282,visit,H
10.59.20.14,129,280,visit,H
10.59.137.117,105,273,visit,H
10.59.20.136,124,273,visit,H
10.59.20.203,120,272,visit,H
10.59.20.51,125,266,visit,H
10.19.66.219,102,252,visit,H
10.59.20.191,128,237,visit,H
10.59.137.214,104,202,visit,H
10.59.88.194,127,199,visit,H
10.24.53.124,111,125,visit,H
10.59.223.221,119,100,visit,H
10.59.137.235,108,95,visit,H
10.59.253.115,126,93,visit,H
10.59.253.128,130,87,visit,H
10.59.126.220,115,62,visit,H
10.59.253.102,117,62,visit,H
10.59.180.205,103,57,visit,H
10.59.81.157,133,47,visit,H
10.59.216.118,131,34,visit,H
10.59.81.121,135,29,visit,H
10.59.180.143,118,27,visit,H
10.17.181.141,109,23,visit,H
10.59.81.129,132,22,visit,H
10.66.233.170,114,18,visit,H
10.59.137.248,141,16,visit,H
10.41.56.60,139,12,visit,H
10.76.90.35,107,9,visit,H
10.65.221.124,138,9,visit,H
10.45.32.237,110,7,visit,H
10.73.244.80,100,1,visit,H
10.66.146.208,113,1,visit,H
